2021-07-13 10:04:45 startup archives install
2021-07-13 10:04:45 install base-passwd:amd64 <none> 3.5.47
2021-07-13 10:04:45 status half-installed base-passwd:amd64 3.5.47
2021-07-13 10:04:45 status unpacked base-passwd:amd64 3.5.47
2021-07-13 10:04:45 configure base-passwd:amd64 3.5.47 3.5.47
2021-07-13 10:04:45 status half-configured base-passwd:amd64 3.5.47
2021-07-13 10:04:45 status installed base-passwd:amd64 3.5.47
2021-07-13 10:04:45 startup archives install
2021-07-13 10:04:45 install base-files:amd64 <none> 11ubuntu5
2021-07-13 10:04:45 status half-installed base-files:amd64 11ubuntu5
2021-07-13 10:04:45 status unpacked base-files:amd64 11ubuntu5
2021-07-13 10:04:45 configure base-files:amd64 11ubuntu5 11ubuntu5
2021-07-13 10:04:45 status half-configured base-files:amd64 11ubuntu5
2021-07-13 10:04:45 status installed base-files:amd64 11ubuntu5
2021-07-13 10:04:45 startup archives install
2021-07-13 10:04:45 upgrade dpkg 1.19.7ubuntu3 1.19.7ubuntu3
2021-07-13 10:04:45 status half-configured dpkg 1.19.7ubuntu3
2021-07-13 10:04:45 status unpacked dpkg 1.19.7ubuntu3
2021-07-13 10:04:45 status half-installed dpkg 1.19.7ubuntu3
2021-07-13 10:04:45 status unpacked dpkg:amd64 1.19.7ubuntu3
2021-07-13 10:04:45 configure dpkg:amd64 1.19.7ubuntu3 1.19.7ubuntu3
2021-07-13 10:04:45 status half-configured dpkg:amd64 1.19.7ubuntu3
2021-07-13 10:04:45 status installed dpkg:amd64 1.19.7ubuntu3
2021-07-13 10:04:45 startup archives install
2021-07-13 10:04:45 install libc6:amd64 <none> 2.31-0ubuntu9
2021-07-13 10:04:45 status half-installed libc6:amd64 2.31-0ubuntu9
2021-07-13 10:04:46 status unpacked libc6:amd64 2.31-0ubuntu9
2021-07-13 10:04:46 configure libc6:amd64 2.31-0ubuntu9 2.31-0ubuntu9
2021-07-13 10:04:46 status half-configured libc6:amd64 2.31-0ubuntu9
2021-07-13 10:04:46 status installed libc6:amd64 2.31-0ubuntu9
2021-07-13 10:04:46 startup archives install
2021-07-13 10:04:46 install perl-base:amd64 <none> 5.30.0-9build1
2021-07-13 10:04:46 status half-installed perl-base:amd64 5.30.0-9build1
